date,hour,total_visitors,north_gate,south_gate,east_gate,west_gate,metro_ridership,bus_ridership,taxi_count,private_car_count,parking_occupancy_rate,nearby_hotel_avg_price,nearby_restaurant_revenue_index,weather_condition,temperature,is_event_day,event_type,year,month,quarter,weekday,is_weekend,north_gate_ratio,south_gate_ratio,public_transport_ratio,time_period
2016-01-01,6,113,24,36,31,20,46,14,12,15,0.33,276.0,62.5,阴,-0.6,False,演唱会,2016,1,1,4,False,0.2124,0.3186,0.531,早高峰
2016-01-01,7,192,34,68,41,35,70,39,18,24,0.2,333.0,56.5,阴,-0.6,False,演唱会,2016,1,1,4,False,0.1771,0.3542,0.5677,早高峰
2016-01-01,8,197,38,67,51,41,60,29,14,14,0.28,267.0,55.3,阴,-0.6,False,演唱会,2016,1,1,4,False,0.1929,0.3401,0.4518,早高峰
2016-01-01,9,154,31,46,39,35,71,24,11,24,0.21,267.0,66.2,阴,-0.6,False,演唱会,2016,1,1,4,False,0.2013,0.2987,0.6169,上午
2016-01-01,10,113,24,42,30,24,38,13,9,8,0.38,334.0,53.1,阴,-0.6,False,演唱会,2016,1,1,4,False,0.2124,0.3717,0.4513,上午
2016-01-01,11,108,19,37,25,23,37,17,8,10,0.39,317.0,52.4,阴,-0.6,False,演唱会,2016,1,1,4,False,0.1759,0.3426,0.5,上午
2016-01-01,12,139,25,46,32,29,50,24,12,17,0.36,327.0,57.0,阴,-0.6,False,演唱会,2016,1,1,4,False,0.1799,0.3309,0.5324,午间
2016-01-01,13,108,22,36,24,19,36,20,8,9,0.36,270.0,64.8,阴,-0.6,False,演唱会,2016,1,1,4,False,0.2037,0.3333,0.5185,午间
2016-01-01,14,129,25,49,29,28,48,18,10,14,0.34,253.0,75.8,阴,-0.6,False,演唱会,2016,1,1,4,False,0.1938,0.3798,0.5116,下午
2016-01-01,15,136,25,42,31,29,46,25,14,18,0.42,303.0,65.0,阴,-0.6,False,演唱会,2016,1,1,4,False,0.1838,0.3088,0.5221,下午
