inspection_id,date,zone,equipment_name,equipment_type,health_score,status,last_maintenance_date,next_maintenance_date,anomaly_type,risk_level,temperature_reading,vibration_reading,power_consumption,estimated_lifespan_days,year,month,quarter,days_since_last_maintenance,days_to_next_maintenance,health_grade,has_anomaly
INS000001,2016-01-01,A区,座椅系统,结构,95,正常,2015-10-05,2016-02-15,,低,35.9,1.95,54.2,3477,2016,1,1,88,45,优秀,False
INS000002,2016-01-01,A区,空调机组,暖通,76,正常,2015-11-20,2016-02-07,,低,42.0,1.92,75.8,1308,2016,1,1,42,37,良好,False
INS000003,2016-01-01,A区,照明系统,电气,92,正常,2015-11-19,2016-03-19,,低,41.9,2.62,79.1,1456,2016,1,1,43,78,优秀,False
INS000004,2016-01-01,A区,消防喷淋,消防,95,正常,2015-11-23,2016-03-30,,低,22.7,1.69,28.8,1789,2016,1,1,39,89,优秀,False
INS000005,2016-01-01,A区,监控摄像头,安防,93,正常,2015-11-26,2016-03-23,,低,33.6,2.71,27.1,1456,2016,1,1,36,82,优秀,False
INS000006,2016-01-01,A区,通风管道,暖通,79,正常,2015-10-11,2016-03-28,,低,29.6,3.12,70.8,1800,2016,1,1,82,87,良好,False
INS000007,2016-01-01,A区,应急照明,电气,77,正常,2015-09-09,2016-02-15,,低,56.2,3.04,61.1,1848,2016,1,1,114,45,良好,False
INS000008,2016-01-01,A区,排水系统,结构,85,正常,2015-07-11,2016-03-15,,低,21.1,1.09,12.0,2459,2016,1,1,174,74,良好,False
INS000009,2016-01-01,A区,隔音墙板,结构,92,正常,2015-07-22,2016-03-29,,低,38.6,1.58,30.5,3711,2016,1,1,163,88,优秀,False
INS000010,2016-01-01,A区,电子显示屏,电气,80,正常,2015-09-07,2016-02-08,,低,61.2,1.77,37.7,2226,2016,1,1,116,38,良好,False
INS000011,2016-01-01,B区,座椅系统,结构,89,正常,2015-11-15,2016-02-28,,低,43.2,0.72,64.3,3226,2016,1,1,47,58,良好,False
INS000012,2016-01-01,B区,空调机组,暖通,94,正常,2015-08-14,2016-03-13,,低,50.4,2.85,67.5,2081,2016,1,1,140,72,优秀,False
INS000013,2016-01-01,B区,照明系统,电气,91,正常,2015-12-01,2016-02-04,,低,51.4,2.01,49.7,2299,2016,1,1,31,34,优秀,False
INS000014,2016-01-01,B区,消防喷淋,消防,82,正常,2015-08-12,2016-02-13,,低,27.2,0.95,14.7,1681,2016,1,1,142,43,良好,False
INS000015,2016-01-01,B区,监控摄像头,安防,87,正常,2015-11-13,2016-03-06,,低,19.6,2.43,35.1,933,2016,1,1,49,65,良好,False
INS000016,2016-01-01,B区,通风管道,暖通,74,正常,2015-07-24,2016-02-27,,低,57.1,1.81,64.5,1521,2016,1,1,161,57,良好,False
INS000017,2016-01-01,B区,应急照明,电气,98,正常,2015-10-03,2016-03-12,,低,44.3,2.1,45.1,2332,2016,1,1,90,71,优秀,False
INS000018,2016-01-01,B区,排水系统,结构,92,正常,2015-11-29,2016-03-22,,低,33.6,1.33,-7.4,2491,2016,1,1,33,81,优秀,False
INS000019,2016-01-01,B区,隔音墙板,结构,90,正常,2015-07-27,2016-03-28,,低,26.2,2.66,17.7,4078,2016,1,1,158,87,优秀,False
INS000020,2016-01-01,B区,电子显示屏,电气,73,正常,2015-10-24,2016-03-23,,低,61.4,2.7,45.5,2043,2016,1,1,69,82,良好,False
INS000021,2016-01-01,C区,座椅系统,结构,92,正常,2015-08-30,2016-03-18,,低,27.1,0.05,22.2,3148,2016,1,1,124,77,优秀,False
INS000022,2016-01-01,C区,空调机组,暖通,69,预警,2015-09-30,2016-02-12,,低,45.4,4.14,73.2,1612,2016,1,1,93,42,一般,False
INS000023,2016-01-01,C区,照明系统,电气,88,正常,2015-10-31,2016-03-18,,低,47.9,1.79,55.4,1744,2016,1,1,62,77,良好,False
INS000024,2016-01-01,C区,消防喷淋,消防,92,正常,2015-10-29,2016-02-03,,低,27.5,1.09,32.3,1992,2016,1,1,64,33,优秀,False
INS000025,2016-01-01,C区,监控摄像头,安防,87,正常,2015-08-15,2016-02-23,,低,29.5,0.5,20.5,1600,2016,1,1,139,53,良好,False
INS000026,2016-01-01,C区,通风管道,暖通,75,正常,2015-10-13,2016-02-27,制冷不足,低,45.1,4.07,80.5,994,2016,1,1,80,57,良好,True
INS000027,2016-01-01,C区,应急照明,电气,95,正常,2015-09-11,2016-02-10,,低,62.4,1.81,63.2,1612,2016,1,1,112,40,优秀,False
INS000028,2016-01-01,C区,排水系统,结构,99,正常,2015-09-06,2016-03-14,,低,23.2,1.91,36.3,2810,2016,1,1,117,73,优秀,False
INS000029,2016-01-01,C区,隔音墙板,结构,95,正常,2015-07-09,2016-02-05,,低,24.6,1.55,26.5,3375,2016,1,1,176,35,优秀,False
INS000030,2016-01-01,C区,电子显示屏,电气,83,正常,2015-09-14,2016-02-23,,低,56.0,1.62,58.2,2178,2016,1,1,109,53,良好,False
INS000031,2016-01-01,VIP区,座椅系统,结构,95,正常,2015-10-05,2016-03-28,,低,19.1,0.39,-0.5,4273,2016,1,1,88,87,优秀,False
INS000032,2016-01-01,VIP区,空调机组,暖通,85,正常,2015-08-27,2016-02-25,,低,44.3,3.19,90.0,1747,2016,1,1,127,55,良好,False
INS000033,2016-01-01,VIP区,照明系统,电气,88,正常,2015-07-15,2016-01-31,,低,63.3,1.03,70.2,1395,2016,1,1,170,30,良好,False
INS000034,2016-01-01,VIP区,消防喷淋,消防,93,正常,2015-08-08,2016-02-22,,低,22.3,3.0,20.4,2850,2016,1,1,146,52,优秀,False
INS000035,2016-01-01,VIP区,监控摄像头,安防,88,正常,2015-09-08,2016-03-30,,低,38.5,1.88,25.0,1114,2016,1,1,115,89,良好,False
INS000036,2016-01-01,VIP区,电梯系统,运输,73,正常,2015-12-02,2016-03-16,,低,19.1,2.1,13.2,980,2016,1,1,30,75,良好,False
INS000037,2016-01-01,VIP区,通风管道,暖通,89,正常,2015-10-04,2016-03-09,,低,46.1,3.41,89.2,1688,2016,1,1,89,68,良好,False
INS000038,2016-01-01,VIP区,应急照明,电气,90,正常,2015-08-19,2016-02-05,,低,67.9,1.98,34.8,1619,2016,1,1,135,35,优秀,False
INS000039,2016-01-01,VIP区,排水系统,结构,89,正常,2015-08-24,2016-03-28,,低,18.4,0.81,21.9,4200,2016,1,1,130,87,良好,False
INS000040,2016-01-01,VIP区,电子显示屏,电气,89,正常,2015-07-21,2016-02-28,,低,65.9,2.93,70.9,1572,2016,1,1,164,58,良好,False
INS000041,2016-01-01,VIP区,贵宾接待系统,控制,82,正常,2015-11-13,2016-03-22,,低,37.5,1.52,60.3,1280,2016,1,1,49,81,良好,False
INS000042,2016-01-01,舞台区,液压升降台,机械,87,正常,2015-09-02,2016-02-23,,低,63.0,6.33,22.8,913,2016,1,1,121,53,良好,False
INS000043,2016-01-01,舞台区,舞台灯光,电气,77,正常,2015-10-01,2016-03-15,,低,47.1,2.11,73.1,1658,2016,1,1,92,74,良好,False
INS000044,2016-01-01,舞台区,音响系统,电气,80,正常,2015-11-11,2016-03-03,,低,60.7,2.12,45.6,2107,2016,1,1,51,62,良好,False
INS000045,2016-01-01,舞台区,烟雾机,特效,100,正常,2015-10-31,2016-02-28,,低,20.7,2.95,28.0,835,2016,1,1,62,58,优秀,False
INS000046,2016-01-01,舞台区,吊挂系统,机械,86,正常,2015-07-21,2016-03-03,,低,62.6,3.57,22.7,1068,2016,1,1,164,62,良好,False
INS000047,2016-01-01,舞台区,旋转舞台,机械,78,正常,2015-09-01,2016-01-31,,低,49.5,4.45,32.2,1023,2016,1,1,122,30,良好,False
INS000048,2016-01-01,舞台区,LED地屏,电气,88,正常,2015-07-22,2016-02-05,,低,63.4,1.83,66.1,2158,2016,1,1,163,35,良好,False
INS000049,2016-01-01,舞台区,舞台幕布,结构,85,正常,2015-09-08,2016-02-01,,低,30.2,1.21,11.1,3676,2016,1,1,115,31,良好,False
INS000050,2016-01-01,舞台区,线缆卷扬机,机械,63,预警,2015-10-22,2016-03-22,密封泄漏,低,61.2,4.11,44.3,605,2016,1,1,71,81,一般,True
INS000051,2016-01-01,舞台区,舞台监控,安防,84,正常,2015-07-28,2016-03-08,,低,26.5,1.49,32.7,1032,2016,1,1,157,67,良好,False
