date,source_city,source_province,source_lat,source_lng,visitor_count,avg_stay_days,avg_spending,transport_mode,dest_lat,dest_lng,year,month,quarter,distance_km,total_spending,visitor_level
2016-01-01,上海,上海,31.2304,121.4737,123,2.7,892.0,高铁,39.9929,116.3966,2016,1,1,1076.5,109716.0,高
2016-01-01,广州,广东,23.1291,113.2644,27,3.2,1017.0,飞机,39.9929,116.3966,2016,1,1,1898.1,27459.0,低
2016-01-01,深圳,广东,22.5431,114.0579,31,3.0,807.0,飞机,39.9929,116.3966,2016,1,1,1952.8,25017.0,低
2016-01-01,成都,四川,30.5728,104.0668,30,3.2,894.0,飞机,39.9929,116.3966,2016,1,1,1530.0,26820.0,低
2016-01-01,重庆,重庆,29.4316,106.9123,42,3.3,681.0,大巴,39.9929,116.3966,2016,1,1,1457.7,28602.0,低
2016-01-01,杭州,浙江,30.2741,120.1551,37,2.7,727.0,飞机,39.9929,116.3966,2016,1,1,1133.1,26899.0,低
2016-01-01,武汉,湖北,30.5928,114.3055,34,2.3,712.0,高铁,39.9929,116.3966,2016,1,1,1062.2,24208.0,低
2016-01-01,南京,江苏,32.0603,118.7969,25,2.4,710.0,飞机,39.9929,116.3966,2016,1,1,908.0,17750.0,低
2016-01-01,天津,天津,39.3434,117.3616,85,1.5,580.0,自驾,39.9929,116.3966,2016,1,1,109.7,49300.0,中
2016-01-01,苏州,江苏,31.299,120.5853,25,3.4,857.0,大巴,39.9929,116.3966,2016,1,1,1037.8,21425.0,低
2016-01-01,西安,陕西,34.3416,108.9398,39,2.0,732.0,大巴,39.9929,116.3966,2016,1,1,911.2,28548.0,低
2016-01-01,长沙,湖南,28.2282,112.9388,25,2.8,608.0,自驾,39.9929,116.3966,2016,1,1,1346.0,15200.0,低
2016-01-01,沈阳,辽宁,41.8057,123.4315,19,2.9,880.0,高铁,39.9929,116.3966,2016,1,1,624.5,16720.0,极少
2016-01-01,青岛,山东,36.0671,120.3826,36,2.3,739.0,飞机,39.9929,116.3966,2016,1,1,558.8,26604.0,低
2016-01-01,郑州,河南,34.7466,113.6254,46,2.8,887.0,自驾,39.9929,116.3966,2016,1,1,632.6,40802.0,低
2016-01-01,大连,辽宁,38.914,121.6147,23,2.8,617.0,高铁,39.9929,116.3966,2016,1,1,463.7,14191.0,低
