date,quarter,gdp_growth_rate,cpi_index,tourism_index,hotel_price_index,restaurant_revenue_index,transport_demand_index,event_count,total_revenue,employment_index,real_estate_nearby_index,consumer_confidence_index,year,quarter_label,composite_economic_index,is_covid_period
2016-01-01,1,6.82,100.2,94.3,63.6,59.9,71.3,12,17443.0,97.5,98.8,99.7,2016,2016-Q1,73.92,False
2016-04-01,2,6.26,99.2,93.8,103.9,108.1,93.9,19,16389.0,101.1,101.0,98.3,2016,2016-Q2,78.67,False
2016-07-01,3,6.64,101.2,107.6,126.9,127.1,114.2,22,45007.0,101.6,103.0,111.1,2016,2016-Q3,88.23,False
2016-10-01,4,6.45,99.3,99.4,84.0,69.3,80.4,20,32194.0,98.7,102.8,105.0,2016,2016-Q4,77.99,False
2017-01-01,1,6.3,101.6,103.2,73.2,76.8,62.9,19,36034.0,105.8,106.1,113.7,2017,2017-Q1,78.38,False
2017-04-01,2,6.51,103.6,106.9,100.7,105.8,102.6,21,20413.0,104.2,108.4,105.0,2017,2017-Q2,85.04,False
2017-07-01,3,6.73,101.2,107.8,124.4,123.9,135.7,29,49684.0,102.3,107.8,111.0,2017,2017-Q3,92.71,False
2017-10-01,4,6.36,103.5,97.0,75.3,72.7,74.8,12,25049.0,106.0,105.0,113.5,2017,2017-Q4,79.53,False
2018-01-01,1,6.86,104.6,99.9,76.4,68.5,76.8,14,27113.0,105.9,111.0,109.6,2018,2018-Q1,79.81,False
2018-04-01,2,5.85,102.8,102.1,96.5,103.0,98.3,30,24974.0,108.2,111.8,107.6,2018,2018-Q2,84.41,False
2018-07-01,3,5.89,104.7,107.1,130.6,132.3,115.9,19,43018.0,108.3,111.4,114.1,2018,2018-Q3,90.26,False
2018-10-01,4,6.75,104.8,100.2,87.3,87.6,85.1,24,43208.0,103.8,112.3,113.4,2018,2018-Q4,81.85,False
2019-01-01,1,6.97,106.9,103.1,79.0,75.2,73.1,13,28915.0,106.3,120.7,117.9,2019,2019-Q1,81.47,False
2019-04-01,2,6.35,105.5,115.7,108.4,96.5,100.3,22,54776.0,109.4,119.6,113.4,2019,2019-Q2,89.03,False
2019-07-01,3,6.63,108.6,114.7,120.9,118.4,129.7,19,19030.0,106.9,115.0,108.6,2019,2019-Q3,93.31,False
2019-10-01,4,6.72,108.0,110.4,83.9,87.9,82.5,24,38012.0,110.9,115.3,119.4,2019,2019-Q4,85.98,False
2020-01-01,1,-6.4,110.7,17.3,11.1,10.0,10.8,2,514.0,97.0,118.2,77.7,2020,2020-Q1,39.28,True
2020-04-01,2,-5.92,111.7,5.6,5.3,6.2,6.0,1,82.0,97.8,121.8,80.0,2020,2020-Q2,36.7,True
2020-07-01,3,2.63,111.2,33.3,39.5,41.6,39.0,10,3617.0,98.4,115.8,80.3,2020,2020-Q3,50.73,True
2020-10-01,4,2.4,111.3,57.6,44.0,46.4,43.7,8,5506.0,98.9,122.1,78.8,2020,2020-Q4,56.28,True
2021-01-01,1,8.74,113.8,47.9,28.9,28.0,30.2,7,3874.0,107.8,122.8,87.9,2021,2021-Q1,56.51,True
2021-04-01,2,8.63,110.4,61.6,56.9,63.0,62.6,14,10608.0,108.7,130.4,96.7,2021,2021-Q2,67.65,True
2021-07-01,3,5.03,114.3,69.6,96.7,82.5,83.8,24,33111.0,106.3,125.8,97.7,2021,2021-Q3,72.49,True
2021-10-01,4,4.57,115.4,82.8,59.7,58.2,67.6,14,12355.0,108.3,130.0,100.4,2021,2021-Q4,72.73,True
2022-01-01,1,3.25,112.9,70.0,42.8,43.6,42.1,9,13889.0,111.5,136.0,102.8,2022,2022-Q1,65.93,True
2022-04-01,2,2.91,114.1,61.2,52.4,58.8,53.9,12,5887.0,114.4,140.2,96.1,2022,2022-Q2,65.7,True
2022-07-01,3,2.63,114.9,82.1,86.5,93.3,84.4,26,28396.0,111.6,140.6,99.2,2022,2022-Q3,75.99,True
2022-10-01,4,3.33,113.4,84.0,70.5,76.4,69.1,20,25915.0,111.3,137.2,96.7,2022,2022-Q4,72.89,True
2023-01-01,1,5.29,115.5,127.8,83.7,76.0,84.7,17,25917.0,122.9,144.4,115.8,2023,2023-Q1,91.3,False
2023-04-01,2,5.87,117.1,114.4,115.1,105.7,129.2,32,51819.0,122.2,143.8,107.2,2023,2023-Q2,95.77,False
2023-07-01,3,5.06,118.0,121.2,144.9,129.7,154.4,39,74095.0,123.1,140.5,108.8,2023,2023-Q3,102.51,False
2023-10-01,4,4.86,119.8,121.3,97.0,94.8,98.2,19,32463.0,117.6,147.2,108.0,2023,2023-Q4,89.99,False
2024-01-01,1,4.4,121.3,121.4,82.8,76.4,83.4,23,31431.0,126.4,149.9,124.3,2024,2024-Q1,91.98,False
2024-04-01,2,5.01,119.8,130.7,113.5,116.1,124.7,20,63190.0,121.8,148.3,121.6,2024,2024-Q2,100.76,False
2024-07-01,3,4.41,118.9,119.1,145.8,136.3,135.0,35,100836.0,123.8,149.1,136.2,2024,2024-Q3,103.7,False
2024-10-01,4,4.13,117.3,114.4,100.4,102.1,106.8,19,29021.0,121.4,147.3,122.6,2024,2024-Q4,93.87,False
2025-01-01,1,4.94,124.3,126.1,83.4,79.5,81.7,14,19976.0,126.2,158.0,142.1,2025,2025-Q1,96.21,False
2025-04-01,2,5.11,120.5,131.9,134.1,138.9,126.9,29,54438.0,127.3,149.8,137.0,2025,2025-Q2,105.64,False
2025-07-01,3,5.57,122.7,120.6,153.7,145.9,156.1,42,94945.0,130.7,156.2,141.9,2025,2025-Q3,110.97,False
