date,quarter,year,event_type,event_name,total_tickets,sold_tickets,avg_ticket_price,total_revenue,vip_revenue,merchandise_revenue,sponsor_revenue,month,sell_rate,revenue_per_ticket,vip_revenue_ratio,sponsor_revenue_ratio,is_weekend
2016-01-02,1,2016,演唱会,BLACKPINK世界巡演北京站,37940,33894,583.15,19765286.1,6484433.11,422700.09,3436299.17,1,0.8934,583.15,0.3281,0.1739,True
2016-01-02,1,2016,演唱会,2016周杰伦巡回演唱会,39643,35922,729.73,26213361.06,8947727.26,414115.54,3057426.41,1,0.9061,729.73,0.3413,0.1166,True
2016-01-04,1,2016,体育赛事,意大利超级杯,51242,33541,207.37,6955397.17,2987595.61,74136.06,1361116.04,1,0.6546,207.37,0.4295,0.1957,False
2016-01-06,1,2016,演唱会,华晨宇火星演唱会,49642,43865,1096.57,48101043.05,17338302.67,919077.87,4737252.66,1,0.8836,1096.57,0.3605,0.0985,False
2016-01-07,1,2016,文化活动,2016冰雪文化节,31348,27908,391.47,10925144.76,2634367.27,123243.94,2357980.95,1,0.8903,391.47,0.2411,0.2158,False
2016-01-07,1,2016,文化活动,国潮音乐节,23259,15209,254.61,3872363.49,594635.44,23724.88,479635.16,1,0.6539,254.61,0.1536,0.1239,False
2016-01-07,1,2016,展览,2016国际消费电子展,14443,9496,74.59,708306.64,144692.83,8010.23,90849.24,1,0.6575,74.59,0.2043,0.1283,False
2016-01-10,1,2016,商业活动,2016品牌新品发布会,15882,14607,1497.81,21878510.67,8922854.96,70058.67,8579276.79,1,0.9197,1497.81,0.4078,0.3921,True
2016-01-14,1,2016,文化活动,2016国庆文艺汇演,25171,18943,362.55,6867784.65,755317.94,59116.26,819646.43,1,0.7526,362.55,0.11,0.1193,False
2016-01-15,1,2016,展览,未来生活体验展,21121,17213,115.25,1983798.25,158586.19,33860.03,308237.0,1,0.815,115.25,0.0799,0.1554,False
2016-01-15,1,2016,文化活动,2016国潮音乐节,39081,25470,282.99,7207755.3,1079533.39,51022.17,1012789.23,1,0.6517,282.99,0.1498,0.1405,False
2016-01-16,1,2016,体育赛事,2016意大利超级杯,40307,27459,278.28,7641290.52,2452412.09,46127.48,2289797.31,1,0.6812,278.28,0.3209,0.2997,True
2016-01-18,1,2016,演唱会,2016周杰伦巡回演唱会,43698,40159,884.41,35517021.19,15537470.57,463535.96,4154264.21,1,0.919,884.41,0.4375,0.117,False
2016-01-20,1,2016,商业活动,2016创业大赛总决赛,4423,4056,846.27,3432471.12,1134023.47,20438.53,1323261.8,1,0.917,846.27,0.3304,0.3855,False
2016-01-24,1,2016,文化活动,2016央视春晚分会场,22628,16637,153.88,2560101.56,830379.37,21303.82,458765.3,1,0.7352,153.88,0.3244,0.1792,True
2016-01-25,1,2016,体育赛事,2016中超联赛北京德比,58453,45514,526.23,23950832.22,3758622.67,237173.23,6634360.68,1,0.7786,526.23,0.1569,0.277,False
2016-01-26,1,2016,商业活动,互联网大会开幕式,5351,4974,1310.45,6518178.3,1786131.91,41178.65,1636143.04,1,0.9295,1310.45,0.274,0.251,False
2016-01-29,1,2016,演唱会,周杰伦巡回演唱会,38841,33917,804.07,27271642.19,14200086.18,436476.91,3661327.68,1,0.8732,804.07,0.5207,0.1343,False
2016-01-31,1,2016,文化活动,2016北京国际电影节开幕式,39794,32144,375.31,12063964.64,2430179.5,125859.23,1489045.0,1,0.8078,375.31,0.2014,0.1234,True
2016-02-01,1,2016,演唱会,Ed Sheeran中国巡演,47869,43613,662.96,28913674.48,16386280.48,705202.61,3269414.62,2,0.9111,662.96,0.5667,0.1131,False
2016-02-04,1,2016,体育赛事,NFL中国赛,45026,32385,310.09,10042264.65,3969197.17,55161.29,1821042.26,2,0.7193,310.09,0.3952,0.1813,False
2016-02-10,1,2016,展览,数字艺术沉浸展,26568,21069,204.07,4299550.83,856195.53,55959.35,962146.49,2,0.793,204.07,0.1991,0.2238,False
2016-02-12,1,2016,商业活动,品牌周年庆典,9946,8331,1308.04,10897281.24,4569543.54,86188.83,4552739.17,2,0.8376,1308.04,0.4193,0.4178,False
2016-02-13,1,2016,演唱会,2016孙燕姿克卜勒巡演,27049,24828,1110.23,27564790.44,9820005.02,361361.09,2347642.82,2,0.9179,1110.23,0.3563,0.0852,True
2016-02-17,1,2016,体育赛事,2016中国足协杯决赛,44063,36928,258.31,9538871.68,1296416.62,76293.82,2415957.58,2,0.8381,258.31,0.1359,0.2533,False
2016-02-17,1,2016,演唱会,2016周杰伦巡回演唱会,29754,25654,574.77,14745149.58,8097975.29,275985.72,2148532.45,2,0.8622,574.77,0.5492,0.1457,False
2016-02-19,1,2016,文化活动,2016中秋赏月晚会,18302,12427,121.8,1513608.6,204190.23,18667.21,237486.49,2,0.679,121.8,0.1349,0.1569,False
2016-02-27,1,2016,体育赛事,2016法国超级杯北京站,45319,35013,414.23,14503434.99,4897006.68,168381.42,4062119.75,2,0.7726,414.23,0.3376,0.2801,True
2016-02-28,1,2016,文化活动,2016中秋赏月晚会,27623,21722,390.44,8481137.68,1849278.87,119992.46,1047377.56,2,0.7864,390.44,0.218,0.1235,True
2016-03-04,1,2016,体育赛事,2016法国超级杯北京站,52919,36166,433.22,15667834.52,4085600.48,181065.91,2442269.91,3,0.6834,433.22,0.2608,0.1559,False
2016-03-06,1,2016,文化活动,2016中秋赏月晚会,33331,24765,426.15,10553604.75,2165245.32,144855.77,1598652.48,3,0.743,426.15,0.2052,0.1515,True
2016-03-06,1,2016,展览,全球创新科技展,23498,16690,171.73,2866173.7,315692.81,25795.13,363869.6,3,0.7103,171.73,0.1101,0.127,True
2016-03-07,1,2016,商业活动,2016互联网大会开幕式,13227,11106,924.77,10270495.62,5895909.34,69447.78,4193605.73,3,0.8396,924.77,0.5741,0.4083,False
2016-03-07,1,2016,展览,2016当代艺术大展,16295,11648,159.34,1855992.32,329861.28,17020.69,257219.97,3,0.7148,159.34,0.1777,0.1386,False
2016-03-08,1,2016,演唱会,2016邓紫棋启示录巡演,36677,33066,1526.76,50483846.16,16070213.97,758871.41,6973361.02,3,0.9015,1526.76,0.3183,0.1381,False
2016-03-09,1,2016,商业活动,2016互联网大会开幕式,14372,12163,1083.73,13181407.99,8129803.7,61310.19,4440689.4,3,0.8463,1083.73,0.6168,0.3369,False
2016-03-09,1,2016,演唱会,2016Coldplay北京演唱会,31689,27425,643.98,17661151.5,8844467.77,345872.35,3112199.63,3,0.8654,643.98,0.5008,0.1762,False
