date,source_city,source_province,source_lat,source_lng,visitor_count,avg_stay_days,avg_spending,transport_mode,dest_lat,dest_lng
2016-01-01,上海,上海,31.2304,121.4737,123,2.7,892.0,高铁,39.9929,116.3966
2016-01-01,广州,广东,23.1291,113.2644,27,3.2,1017.0,飞机,39.9929,116.3966
2016-01-01,深圳,广东,22.5431,114.0579,31,3.0,807.0,飞机,39.9929,116.3966
2016-01-01,成都,四川,30.5728,104.0668,30,3.2,894.0,飞机,39.9929,116.3966
2016-01-01,重庆,重庆,29.4316,106.9123,42,3.3,681.0,大巴,39.9929,116.3966
2016-01-01,杭州,浙江,30.2741,120.1551,37,2.7,727.0,飞机,39.9929,116.3966
2016-01-01,武汉,湖北,30.5928,114.3055,34,2.3,712.0,高铁,39.9929,116.3966
2016-01-01,南京,江苏,32.0603,118.7969,25,2.4,710.0,飞机,39.9929,116.3966
2016-01-01,天津,天津,39.3434,117.3616,85,1.5,580.0,自驾,39.9929,116.3966
2016-01-01,苏州,江苏,31.299,120.5853,25,3.4,857.0,大巴,39.9929,116.3966
2016-01-01,西安,陕西,34.3416,108.9398,39,2.0,732.0,大巴,39.9929,116.3966
2016-01-01,长沙,湖南,28.2282,112.9388,25,2.8,608.0,自驾,39.9929,116.3966
2016-01-01,沈阳,辽宁,41.8057,123.4315,19,2.9,880.0,高铁,39.9929,116.3966
2016-01-01,青岛,山东,36.0671,120.3826,36,2.3,739.0,飞机,39.9929,116.3966
2016-01-01,郑州,河南,34.7466,113.6254,46,2.8,887.0,自驾,39.9929,116.3966
2016-01-01,大连,辽宁,38.914,121.6147,23,2.8,617.0,高铁,39.9929,116.3966
2016-01-01,东莞,广东,23.043,113.7633,13,3.9,840.0,飞机,39.9929,116.3966
2016-01-01,宁波,浙江,29.8683,121.544,18,3.7,887.0,高铁,39.9929,116.3966
2016-01-01,厦门,福建,24.4798,118.0894,6,3.4,847.0,飞机,39.9929,116.3966
2016-01-01,福州,福建,26.0745,119.2965,10,2.6,658.0,飞机,39.9929,116.3966
2016-01-01,合肥,安徽,31.8206,117.2272,18,3.2,846.0,飞机,39.9929,116.3966
2016-01-01,昆明,云南,25.0389,102.7183,6,3.2,855.0,高铁,39.9929,116.3966
2016-01-01,哈尔滨,黑龙江,45.8038,126.535,14,2.8,736.0,飞机,39.9929,116.3966
2016-01-01,济南,山东,36.6512,116.9972,34,2.0,531.0,高铁,39.9929,116.3966
2016-01-01,佛山,广东,23.0218,113.1218,8,3.7,781.0,大巴,39.9929,116.3966
2016-01-01,长春,吉林,43.8171,125.3235,12,2.8,691.0,飞机,39.9929,116.3966
2016-01-01,温州,浙江,28.0001,120.6722,17,3.1,725.0,飞机,39.9929,116.3966
2016-01-01,石家庄,河北,38.0428,114.5149,22,1.4,569.0,高铁,39.9929,116.3966
2016-01-01,南宁,广西,22.817,108.3665,8,3.9,780.0,飞机,39.9929,116.3966
2016-01-01,贵阳,贵州,26.647,106.6302,6,4.0,797.0,飞机,39.9929,116.3966
2016-01-01,南昌,江西,28.682,115.8579,7,2.7,622.0,高铁,39.9929,116.3966
2016-01-01,太原,山西,37.8706,112.5489,14,2.3,532.0,高铁,39.9929,116.3966
2016-01-01,烟台,山东,37.4638,121.4479,12,1.8,453.0,自驾,39.9929,116.3966
2016-01-01,无锡,江苏,31.4912,120.3119,17,2.0,599.0,自驾,39.9929,116.3966
2016-01-01,兰州,甘肃,36.0611,103.8343,3,2.9,643.0,飞机,39.9929,116.3966
2016-01-01,珠海,广东,22.271,113.5767,2,3.4,726.0,飞机,39.9929,116.3966
2016-01-01,海口,海南,20.044,110.1999,1,4.7,1004.0,飞机,39.9929,116.3966
2016-01-01,呼和浩特,内蒙古,40.8422,111.7491,7,2.9,658.0,自驾,39.9929,116.3966
2016-01-01,乌鲁木齐,新疆,43.793,87.6168,1,3.7,633.0,飞机,39.9929,116.3966
2016-01-01,银川,宁夏,38.4872,106.2309,1,3.2,599.0,自驾,39.9929,116.3966
2016-01-01,西宁,青海,36.6171,101.7782,1,3.6,869.0,高铁,39.9929,116.3966
2016-01-01,保定,河北,38.8739,115.4646,16,2.4,630.0,自驾,39.9929,116.3966
2016-01-01,唐山,河北,39.6309,118.1802,16,2.2,668.0,自驾,39.9929,116.3966
2016-01-01,廊坊,河北,39.5246,116.6839,11,2.0,569.0,高铁,39.9929,116.3966
2016-01-01,秦皇岛,河北,39.9354,119.6006,5,1.4,491.0,大巴,39.9929,116.3966
2016-01-01,张家口,河北,40.7675,114.8867,6,2.0,466.0,飞机,39.9929,116.3966
2016-01-01,承德,河北,40.951,117.9632,5,2.4,671.0,自驾,39.9929,116.3966
2016-01-01,常州,江苏,31.8106,119.9741,9,3.0,824.0,大巴,39.9929,116.3966
2016-01-01,徐州,江苏,34.2614,117.1847,17,1.8,644.0,自驾,39.9929,116.3966
2016-01-01,扬州,江苏,32.3942,119.4126,5,2.4,738.0,自驾,39.9929,116.3966
2016-01-01,绍兴,浙江,30.0,120.5833,6,3.0,649.0,飞机,39.9929,116.3966
2016-01-01,嘉兴,浙江,30.7469,120.7555,10,3.5,626.0,自驾,39.9929,116.3966
2016-01-01,泉州,福建,24.8741,118.6757,10,3.9,788.0,飞机,39.9929,116.3966
2016-01-01,洛阳,河南,34.6197,112.454,14,2.4,683.0,自驾,39.9929,116.3966
2016-01-01,桂林,广西,25.2742,110.2992,4,3.9,859.0,飞机,39.9929,116.3966
2016-01-01,中山,广东,22.5171,113.3926,4,4.0,965.0,飞机,39.9929,116.3966
2016-01-01,惠州,广东,23.1116,114.416,4,3.0,612.0,大巴,39.9929,116.3966
2016-01-01,潍坊,山东,36.7069,119.1619,18,2.2,508.0,自驾,39.9929,116.3966
2016-01-01,临沂,山东,35.1041,118.3564,17,2.3,467.0,大巴,39.9929,116.3966
2016-01-01,南通,江苏,31.98,120.8943,15,2.3,520.0,高铁,39.9929,116.3966
2016-01-01,盐城,江苏,33.3478,120.1615,11,2.5,666.0,大巴,39.9929,116.3966
2016-01-01,台州,浙江,28.6563,121.4208,8,3.4,876.0,高铁,39.9929,116.3966
2016-01-01,金华,浙江,29.0795,119.6495,9,3.4,639.0,飞机,39.9929,116.3966
2016-01-01,漳州,福建,24.5128,117.6471,3,2.8,602.0,飞机,39.9929,116.3966
2016-01-08,上海,上海,31.2304,121.4737,85,2.1,890.0,高铁,39.9929,116.3966
